Sbswat,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
173,0.0,-0.33233333333333337,-0.6646666666666667,-0.9970000000000001,-1.3293333333333335,-1.6616666666666666
174,0.0,-0.3105,-0.621,-0.9315,-1.242,-1.5525
175,0.0,-0.2941666666666667,-0.5883333333333334,-0.8825000000000001,-1.1766666666666667,-1.4708333333333332
176,0.0,-0.4361666666666668,-0.8723333333333334,-1.3085,-1.7446666666666668,-2.180833333333333
177,0.0,-0.5803333333333334,-1.1606666666666667,-1.741,-2.3213333333333335,-2.901666666666667
178,0.0,-0.3041666666666667,-0.6083333333333334,-0.9125000000000001,-1.2166666666666668,-1.5208333333333333
179,0.0,-0.375,-0.75,-1.125,-1.5,-1.875
180,0.0,-0.38716666666666666,-0.7743333333333333,-1.1615,-1.5486666666666666,-1.9358333333333333
181,0.0,-0.4003333333333332,-0.8006666666666666,-1.201,-1.6013333333333333,-2.001666666666667
182,0.0,-0.5276666666666667,-1.0553333333333335,-1.5830000000000002,-2.110666666666667,-2.638333333333333
183,0.0,0.0,0.0,0.0,0.0,0.0
184,0.0,0.0,0.0,0.0,0.0,0.0
185,0.0,0.0,0.0,0.0,0.0,0.0
186,0.0,-0.2230000000000001,-0.44600000000000006,-0.669,-0.8920000000000001,-1.115
187,0.0,-0.36516666666666664,-0.7303333333333333,-1.0955,-1.4606666666666666,-1.8258333333333332
188,0.0,-0.3011666666666668,-0.6023333333333334,-0.9035,-1.2046666666666668,-1.5058333333333334
189,0.0,-0.2691666666666668,-0.5383333333333333,-0.8075,-1.0766666666666667,-1.3458333333333332
190,0.0,-0.2250000000000001,-0.45000000000000007,-0.675,-0.9000000000000001,-1.125
191,0.0,-0.4116666666666666,-0.8233333333333335,-1.235,-1.646666666666667,-2.0583333333333336
192,0.0,-0.3860000000000001,-0.772,-1.158,-1.544,-1.93
193,0.0,-0.48816666666666686,-0.9763333333333333,-1.4645,-1.9526666666666666,-2.440833333333333
194,0.0,-0.395,-0.79,-1.185,-1.58,-1.975
195,0.0,0.0,0.0,0.0,0.0,0.0
196,0.0,0.0,0.0,0.0,0.0,0.0
197,0.0,-0.28,-0.56,-0.8400000000000001,-1.12,-1.4
198,0.0,-0.10750000000000004,-0.21500000000000002,-0.3225,-0.43000000000000005,-0.5375
199,0.0,-0.31066666666666665,-0.6213333333333333,-0.9319999999999999,-1.2426666666666666,-1.5533333333333335
200,0.0,-0.5663333333333331,-1.1326666666666667,-1.699,-2.2653333333333334,-2.831666666666667
201,0.0,-0.4354999999999998,-0.871,-1.3065,-1.742,-2.1775
202,0.0,-0.4504999999999999,-0.901,-1.3515,-1.802,-2.2525
203,0.0,-0.13383333333333336,-0.2676666666666667,-0.4015000000000001,-0.5353333333333334,-0.6691666666666667
204,0.0,-0.262,-0.524,-0.786,-1.048,-1.31
205,0.0,0.0,0.0,0.0,0.0,0.0
206,0.0,0.0,0.0,0.0,0.0,0.0
207,0.0,0.0,0.0,0.0,0.0,0.0
208,0.0,0.0,0.0,0.0,0.0,0.0
209,0.0,0.0,0.0,0.0,0.0,0.0
210,0.0,0.0,0.0,0.0,0.0,0.0
211,0.0,-0.7965,-1.593,-2.3895,-3.186,-3.9825
212,0.0,-0.14100000000000001,-0.28200000000000003,-0.42300000000000004,-0.5640000000000001,-0.705
