Sbswat,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
78,0.0,-0.007797451626234714,-0.01606308343461229,-0.025459384889815674,-0.037297324717346064,-0.05556913872650676
79,0.0,-0.003744514036545287,-0.007713858870086854,-0.01222617704494293,-0.017911025630450748,-0.026685567276884238
80,0.0,-0.004510785670223738,-0.009292411168371175,-0.014728123243150777,-0.02157631056108613,-0.032146461009241595
81,0.0,-0.004068848017552897,-0.008382000725571624,-0.013285156831048547,-0.01946240297607101,-0.028996958337483246
82,0.0,-0.008188880138264104,-0.01686944289008613,-0.026737434388843642,-0.039169633391588854,-0.058358684122760116
83,0.0,-0.002847767193788021,-0.005866522067576817,-0.009298217486762399,-0.01362164240798331,-0.020294831932008695
84,0.0,-0.0054320422811540816,-0.011190239140304118,-0.017736109411484173,-0.025982930648380337,-0.038711867102080716
85,0.0,-0.004948216411131271,-0.010193537180416082,-0.016156374180666358,-0.02366866036548701,-0.03526384482768628
86,0.0,-0.01528614576033178,-0.03149011324619446,-0.04991064863868078,-0.0731177786575236,-0.1089378934383543
87,0.0,-0.008572476725648561,-0.017659668246234255,-0.027989911945457437,-0.04100447984732155,-0.061092414705667855
88,0.0,-0.0035279047858156635,-0.007267634560663473,-0.011518928247596679,-0.01687492486977889,-0.025141884791860403
89,0.0,-0.004207211177463931,-0.008667034745462142,-0.013736925064004825,-0.020124231474853486,-0.029983014038279795
90,0.0,-0.01621239598855942,-0.03339822828307272,-0.05293493941919498,-0.07754828456992825,-0.11553888692892822
91,0.0,-0.0032353646197895696,-0.006664989322180397,-0.010563758143362844,-0.01547562595929494,-0.023057074799030835
92,0.0,-0.0181109599913911,-0.03730935123006602,-0.059133922625889374,-0.08662963082311065,-0.12906914931613472
93,0.0,-0.01935264184451978,-0.039867268888566613,-0.06318812619454528,-0.09256893169879168,-0.13791809054182239
94,0.0,-0.00792429362695301,-0.016324383374415188,-0.02587353549584396,-0.03790404438876679,-0.05647308800020892
95,0.0,-0.0024726973482863965,-0.0050938621639450695,-0.008073580513695257,-0.011827581669947792,-0.017621867830931778
96,0.0,-0.013053059079190014,-0.026889859292041636,-0.04261941862755433,-0.06243631975775948,-0.09302362945559678
97,0.0,-0.006450279072888954,-0.013287850427407068,-0.02106074464263179,-0.030853433228057517,-0.045968409912295144
98,0.0,-0.003985846497745707,-0.00821101404918408,-0.013014149360851343,-0.019065384208315356,-0.028405441622822467
99,0.0,-0.008461319949109676,-0.01743068053826833,-0.027626975015205356,-0.0404727868548116,-0.060300247388451245
100,0.0,-0.0033584830448737525,-0.006918618537116645,-0.010965750938124144,-0.016064534759139642,-0.023934487724591447
101,0.0,-0.007088508087028574,-0.01460262945983123,-0.023144620105758528,-0.033906255602012,-0.05051679806858463
102,0.0,-0.0044807341229485065,-0.009230503697269063,-0.01463000222293945,-0.02143256586465071,-0.03193229634628107
103,0.0,-0.04729800668510197,-0.0974359142052821,-0.15443227023885592,-0.22623918664427914,-0.3370728823925839
104,0.0,-0.015074020886321367,-0.031053126944372254,-0.04921804173696376,-0.0721031278862417,-0.10742616920891919
